patient,channel,category
nfle26,EMG1-EMG2,EMG
nfle26,ECG1-ECG2,ECG
nfle26,DX1-DX2,OTHER
nfle26,SX1-SX2,OTHER
nfle26,SAO2,OXYGEN
nfle26,HR,UNKNOWN
nfle26,PLETH,OXYGEN
nfle26,OX STATUS,OXYGEN
nfle27,FP2-F4,EEG
nfle27,F4-C4,EEG
nfle27,C4-P4,EEG
nfle27,P4-O2,EEG
nfle27,F8-T4,EEG
nfle27,T4-T6,EEG
nfle27,FP1-F3,EEG
nfle27,F3-C3,EEG
nfle27,C3-P3,EEG
nfle27,P3-O1,EEG
nfle27,F7-T3,EEG
nfle27,T3-T5,EEG
nfle27,C4-A1,EEG
nfle27,ROC-LOC,EOG
nfle27,EMG1-EMG2,EMG
nfle27,ECG1-ECG2,ECG
nfle27,DX1-DX2,OTHER
nfle27,SX1-SX2,OTHER
nfle27,SAO2,OXYGEN
nfle27,HR,UNKNOWN
nfle27,PLETH,OXYGEN
nfle27,STAT,UNKNOWN
nfle28,FP2-F4,EEG
nfle28,F4-C4,EEG
nfle28,C4-P4,EEG
nfle28,P4-O2,EEG
nfle28,F8-T4,EEG
nfle28,T4-T6,EEG
nfle28,FP1-F3,EEG
nfle28,F3-C3,EEG
nfle28,C3-P3,EEG
nfle28,P3-O1,EEG
nfle28,F7-T3,EEG
nfle28,T3-T5,EEG
nfle28,C4-A1,EEG
nfle28,ROC-LOC,EOG
nfle28,EMG1-EMG2,EMG
nfle28,ECG1-ECG2,ECG
nfle28,DX1-DX2,OTHER
nfle28,SX1-SX2,OTHER
nfle28,SAO2,OXYGEN
nfle28,HR,UNKNOWN
nfle28,PLETH,OXYGEN
nfle28,STAT,UNKNOWN
nfle29,FP2-F4,EEG
nfle29,F4-C4,EEG
nfle29,C4-P4,EEG
nfle29,P4-O2,EEG
nfle29,F8-T4,EEG
nfle29,T4-T6,EEG
nfle29,FP1-F3,EEG
nfle29,F3-C3,EEG
nfle29,C3-P3,EEG
nfle29,P3-O1,EEG
nfle29,F7-T3,EEG
nfle29,T3-T5,EEG
nfle29,C4-A1,EEG
nfle29,ROC-LOC,EOG
nfle29,EMG1-EMG2,EMG
nfle29,ECG1-ECG2,ECG
nfle29,DX1-DX2,OTHER
nfle29,SX1-SX2,OTHER
nfle29,SAO2,OXYGEN
nfle29,HR,UNKNOWN
nfle29,PLETH,OXYGEN
nfle29,STAT,UNKNOWN
nfle3,FP2-F4,EEG
nfle3,F4-C4,EEG
nfle3,C4-P4,EEG
nfle3,P4-O2,EEG
nfle3,F8-T4,EEG
nfle3,T4-T6,EEG
nfle3,FP1-F3,EEG
nfle3,F3-C3,EEG
nfle3,C3-P3,EEG
nfle3,P3-O1,EEG
nfle3,F7-T3,EEG
nfle3,T3-T5,EEG
nfle3,C4-A1,EEG
nfle3,ROC-LOC,EOG
nfle3,EMG1-EMG2,EMG
nfle3,ECG1-ECG2,ECG
nfle3,DX1-DX2,OTHER
nfle3,SX1-SX2,OTHER
nfle3,SAO2,OXYGEN
nfle3,HR,UNKNOWN
nfle3,PLETH,OXYGEN
nfle3,STAT,UNKNOWN
nfle30,FP2-F4,EEG
nfle30,F4-C4,EEG
nfle30,C4-P4,EEG
nfle30,P4-O2,EEG
nfle30,F8-T4,EEG
nfle30,T4-T6,EEG
nfle30,FP1-F3,EEG
nfle30,F3-C3,EEG
nfle30,C3-P3,EEG
nfle30,P3-O1,EEG
nfle30,F7-T3,EEG
nfle30,T3-T5,EEG
nfle30,C4-A1,EEG
nfle30,ROC-LOC,EOG
nfle30,EMG1-EMG2,EMG
nfle30,ECG1-ECG2,ECG
nfle30,DX1-DX2,OTHER
nfle30,SX1-SX2,OTHER
nfle30,SAO2,OXYGEN
nfle30,HR,UNKNOWN
nfle30,PLETH,OXYGEN
nfle30,STAT,UNKNOWN
nfle30,MIC,OTHER
nfle31,FP2-F4,EEG
nfle31,F4-C4,EEG
nfle31,C4-P4,EEG
nfle31,P4-O2,EEG
nfle31,F8-T4,EEG
nfle31,T4-T6,EEG
nfle31,FP1-F3,EEG
nfle31,F3-C3,EEG
nfle31,C3-P3,EEG
nfle31,P3-O1,EEG
nfle31,F7-T3,EEG
nfle31,T3-T5,EEG
nfle31,C4-A1,EEG
nfle31,ROC-LOC,EOG
nfle31,EMG1-EMG2,EMG
nfle31,ECG1-ECG2,ECG
nfle31,DX1-DX2,OTHER
nfle31,SX1-SX2,OTHER
nfle31,MIC,OTHER
nfle31,CANULA,UNKNOWN
nfle31,TORACE,THORAX
nfle31,ABDO,ABDOMEN
nfle31,POSITION,OTHER
nfle31,SAO2,OXYGEN
nfle31,HR,UNKNOWN
nfle31,PLETH,OXYGEN
nfle31,OX STATUS,OXYGEN
nfle32,FP2-F4,EEG
nfle32,F4-C4,EEG
nfle32,C4-P4,EEG
nfle32,P4-O2,EEG
nfle32,F8-T4,EEG
nfle32,T4-T6,EEG
nfle32,FP1-F3,EEG
nfle32,F3-C3,EEG
nfle32,C3-P3,EEG
nfle32,P3-O1,EEG
nfle32,F7-T3,EEG
nfle32,C4-A1,EEG
nfle32,ROC-LOC,EOG
nfle32,EMG1-EMG2,EMG
nfle32,ECG1-ECG2,ECG
nfle32,DX1-DX2,OTHER
nfle32,SX1-SX2,OTHER
nfle32,SAO2,OXYGEN
nfle32,HR,UNKNOWN
nfle32,PLETH,OXYGEN
nfle32,STAT,UNKNOWN
nfle33,POSITION,OTHER
nfle33,DX1,UNKNOWN
nfle33,DX2,UNKNOWN
nfle33,MIC,OTHER
nfle33,C3,UNKNOWN
nfle33,C4,UNKNOWN
nfle33,ECG1,UNKNOWN
nfle33,ECG2,UNKNOWN
nfle33,A1,UNKNOWN
nfle33,A2,UNKNOWN
nfle33,ROC,UNKNOWN
nfle33,LOC,UNKNOWN
nfle33,O1,UNKNOWN
nfle33,O2,UNKNOWN
nfle33,EMG1,UNKNOWN
nfle33,EMG2,UNKNOWN
nfle33,FP2,UNKNOWN
nfle33,F4,UNKNOWN
nfle33,P4,UNKNOWN
nfle33,FP1,UNKNOWN
nfle33,F3,UNKNOWN
nfle33,P3,UNKNOWN
nfle33,F8,UNKNOWN
nfle33,T4,UNKNOWN
nfle33,T6,UNKNOWN
nfle33,F7,UNKNOWN
nfle33,T5,UNKNOWN
nfle33,T3,UNKNOWN
nfle33,SX1,UNKNOWN
nfle33,SX2,UNKNOWN
nfle33,TORACE,THORAX
nfle33,ADDOME,ABDOMEN
nfle33,STAT,UNKNOWN
nfle33,HR,UNKNOWN
nfle33,SAO2,OXYGEN
nfle33,PLETH,OXYGEN
nfle34,FP2-F4,EEG
nfle34,F4-C4,EEG
nfle34,C4-P4,EEG
nfle34,P4-O2,EEG
nfle34,F8-T4,EEG
nfle34,T4-T6,EEG
nfle34,FP1-F3,EEG
nfle34,F3-C3,EEG
nfle34,C3-P3,EEG
nfle34,P3-O1,EEG
nfle34,F7-T3,EEG
nfle34,T3-T5,EEG
nfle34,C4-A1,EEG
nfle34,ROC-LOC,EOG
nfle34,EMG1-EMG2,EMG
nfle34,ECG1-ECG2,ECG
nfle34,DX1-DX2,OTHER
nfle34,SX1-SX2,OTHER
nfle34,SAO2,OXYGEN
nfle34,HR,UNKNOWN
nfle34,PLETH,OXYGEN
nfle34,STAT,UNKNOWN
nfle35,FP2-F4,EEG
nfle35,F4-C4,EEG
nfle35,C4-P4,EEG
nfle35,P4-O2,EEG
nfle35,F8-T4,EEG
nfle35,T4-T6,EEG
nfle35,FP1-F3,EEG
nfle35,F3-C3,EEG
nfle35,C3-P3,EEG
nfle35,P3-O1,EEG
nfle35,F7-T3,EEG
nfle35,T3-T5,EEG
nfle35,C4-A1,EEG
nfle35,ROC-LOC,EOG
nfle35,EMG1-EMG2,EMG
nfle35,ECG1-ECG2,ECG
nfle35,DX1-DX2,OTHER
nfle35,SX1-SX2,OTHER
nfle35,SAO2,OXYGEN
nfle35,HR,UNKNOWN
nfle35,PLETH,OXYGEN
nfle35,STAT,UNKNOWN
nfle36,FP2-F4,EEG
nfle36,F4-C4,EEG
nfle36,C4-P4,EEG
nfle36,P4-O2,EEG
nfle36,F8-T4,EEG
nfle36,T4-T6,EEG
nfle36,FP1-F3,EEG
nfle36,F3-C3,EEG
nfle36,C3-P3,EEG
nfle36,P3-O1,EEG
nfle36,F7-T3,EEG
nfle36,T3-T5,EEG
nfle36,C4-A1,EEG
nfle36,ROC-LOC,EOG
nfle36,EMG1-EMG2,EMG
nfle36,ECG1-ECG2,ECG
nfle36,DX1-DX2,OTHER
nfle36,SX1-SX2,OTHER
nfle36,SAO2,OXYGEN
nfle36,HR,UNKNOWN
nfle36,PLETH,OXYGEN
nfle36,STAT,UNKNOWN
nfle37,FP2-F4,EEG
nfle37,F4-C4,EEG
nfle37,C4-P4,EEG
nfle37,P4-O2,EEG
nfle37,F8-T4,EEG
nfle37,T4-T6,EEG
nfle37,FP1-F3,EEG
nfle37,F3-C3,EEG
nfle37,C3-P3,EEG
nfle37,P3-O1,EEG
nfle37,F7-T3,EEG
nfle37,T3-T5,EEG
nfle37,C4-A1,EEG
nfle37,ROC-LOC,EOG
nfle37,EMG1-EMG2,EMG
nfle37,ECG1-ECG2,ECG
nfle37,DX1-DX2,OTHER
nfle37,SX1-SX2,OTHER
nfle37,SAO2,OXYGEN
nfle37,HR,UNKNOWN
nfle37,PLETH,OXYGEN
nfle37,STAT,UNKNOWN
nfle37,MIC,OTHER
nfle38,FP2-F4,EEG
nfle38,F4-C4,EEG
nfle38,C4-P4,EEG
nfle38,P4-O2,EEG
nfle38,F8-T4,EEG
nfle38,T4-T6,EEG
nfle38,FP1-F3,EEG
nfle38,F3-C3,EEG
nfle38,C3-P3,EEG
nfle38,P3-O1,EEG
nfle38,F7-T3,EEG
nfle38,T3-T5,EEG
nfle38,C4-A1,EEG
nfle38,ROC-LOC,EOG
nfle38,EMG1-EMG2,EMG
nfle38,ECG1-ECG2,ECG
nfle38,DX1-DX2,OTHER
nfle38,SX1-SX2,OTHER
nfle38,SAO2,OXYGEN
nfle38,HR,UNKNOWN
nfle38,PLETH,OXYGEN
nfle38,STAT,UNKNOWN
nfle39,FP2-F4,EEG
nfle39,F4-C4,EEG
nfle39,C4-P4,EEG
nfle39,P4-O2,EEG
nfle39,F8-T4,EEG
nfle39,T4-T6,EEG
nfle39,FP1-F3,EEG
nfle39,F3-C3,EEG
nfle39,C3-P3,EEG
nfle39,P3-O1,EEG
nfle39,F7-T3,EEG
nfle39,T3-T5,EEG
nfle39,C4-A1,EEG
nfle39,ROC-LOC,EOG
nfle39,EMG1-EMG2,EMG
nfle39,ECG1-ECG2,ECG
nfle39,DX1-DX2,OTHER
nfle39,SX1-SX2,OTHER
nfle39,SAO2,OXYGEN
nfle39,HR,UNKNOWN
nfle39,PLETH,OXYGEN
nfle39,STAT,UNKNOWN
nfle4,FP2-F4,EEG
nfle4,F4-C4,EEG
nfle4,C4-P4,EEG
nfle4,P4-O2,EEG
nfle4,F8-T4,EEG
nfle4,T4-T6,EEG
nfle4,FP1-F3,EEG
nfle4,F3-C3,EEG
nfle4,C3-P3,EEG
nfle4,P3-O1,EEG
nfle4,F7-T3,EEG
nfle4,T3-T5,EEG
nfle4,C4-A1,EEG
nfle4,ROC-LOC,EOG
nfle4,EMG1-EMG2,EMG
nfle4,ECG1-ECG2,ECG
nfle4,DX1-DX2,OTHER
nfle4,SX1-SX2,OTHER
nfle4,SAO2,OXYGEN
nfle4,HR,UNKNOWN
nfle4,PLETH,OXYGEN
nfle4,STAT,UNKNOWN
nfle4,MIC,OTHER
nfle40,FP2-F4,EEG
nfle40,F4-C4,EEG
nfle40,C4-P4,EEG
nfle40,P4-O2,EEG
nfle40,F8-T4,EEG
nfle40,T4-T6,EEG
nfle40,FP1-F3,EEG
nfle40,F3-C3,EEG
nfle40,C3-P3,EEG
nfle40,P3-O1,EEG
nfle40,F7-T3,EEG
nfle40,T3-T5,EEG
nfle40,C4-A1,EEG
nfle40,ROC-LOC,EOG
nfle40,EMG1-EMG2,EMG
nfle40,ECG1-ECG2,ECG
nfle40,DX1-DX2,OTHER
nfle40,SX1-SX2,OTHER
nfle40,SAO2,OXYGEN
nfle40,HR,UNKNOWN
nfle40,PLETH,OXYGEN
nfle40,STAT,UNKNOWN
nfle5,FP2-F4,EEG
nfle5,F4-C4,EEG
nfle5,C4-P4,EEG
nfle5,P4-O2,EEG
nfle5,F8-T4,EEG
nfle5,T4-T6,EEG
nfle5,FP1-F3,EEG
nfle5,F3-C3,EEG
nfle5,C3-P3,EEG
nfle5,P3-O1,EEG
nfle5,F7-T3,EEG
nfle5,T3-T5,EEG
nfle5,C4-A1,EEG
nfle5,ROC-LOC,EOG
nfle5,EMG1-EMG2,EMG
nfle5,ECG1-ECG2,ECG
nfle5,DX1-DX2,OTHER
nfle5,SX1-SX2,OTHER
nfle5,SAO2,OXYGEN
nfle5,HR,UNKNOWN
nfle5,PLETH,OXYGEN
nfle5,STAT,UNKNOWN
nfle6,FP2-F4,EEG
nfle6,F4-C4,EEG
nfle6,C4-P4,EEG
nfle6,P4-O2,EEG
nfle6,F8-T4,EEG
nfle6,T4-T6,EEG
nfle6,FP1-F3,EEG
nfle6,F3-C3,EEG
nfle6,C3-P3,EEG
nfle6,P3-O1,EEG
nfle6,F7-T3,EEG
nfle6,T3-T5,EEG
nfle6,C4-A1,EEG
nfle6,ROC-LOC,EOG
nfle6,EMG1-EMG2,EMG
nfle6,ECG1-ECG2,ECG
nfle6,DX1-DX2,OTHER
nfle6,SX1-SX2,OTHER
nfle6,SAO2,OXYGEN
nfle6,HR,UNKNOWN
nfle6,PLETH,OXYGEN
nfle6,OX STATUS,OXYGEN
nfle6,MIC,OTHER
nfle7,FP2-F4,EEG
nfle7,F4-C4,EEG
nfle7,C4-P4,EEG
nfle7,P4-O2,EEG
nfle7,F8-T4,EEG
nfle7,T4-T6,EEG
nfle7,FP1-F3,EEG
nfle7,F3-C3,EEG
nfle7,C3-P3,EEG
nfle7,P3-O1,EEG
nfle7,F7-T3,EEG
nfle7,T3-T5,EEG
nfle7,C4-A1,EEG
nfle7,ROC-LOC,EOG
nfle7,EMG1-EMG2,EMG
nfle7,ECG1-ECG2,ECG
nfle7,DX1-DX2,OTHER
nfle7,SX1-SX2,OTHER
nfle7,SAO2,OXYGEN
nfle7,HR,UNKNOWN
nfle7,PLETH,OXYGEN
nfle7,STAT,UNKNOWN
nfle8,FP2-F4,EEG
nfle8,F4-C4,EEG
nfle8,C4-P4,EEG
nfle8,P4-O2,EEG
nfle8,F8-T4,EEG
nfle8,T4-T6,EEG
nfle8,FP1-F3,EEG
nfle8,F3-C3,EEG
nfle8,C3-P3,EEG
nfle8,P3-O1,EEG
nfle8,F7-T3,EEG
nfle8,T3-T5,EEG
nfle8,C4-A1,EEG
nfle8,ROC-LOC,EOG
nfle8,EMG1-EMG2,EMG
nfle8,ECG1-ECG2,ECG
nfle8,TIB SX,UNKNOWN
nfle8,TIB DX,UNKNOWN
nfle8,SAO2,OXYGEN
nfle8,HR,UNKNOWN
nfle8,PLETH,OXYGEN
nfle8,STAT,UNKNOWN
nfle9,FP2-F4,EEG
nfle9,F4-C4,EEG
nfle9,C4-P4,EEG
nfle9,P4-O2,EEG
nfle9,FP1-F3,EEG
nfle9,F3-C3,EEG
nfle9,C3-P3,EEG
nfle9,P3-O1,EEG
nfle9,C4-A1,EEG
nfle9,ROC-LOC,EOG
nfle9,EMG1-EMG2,EMG
nfle9,ECG1-ECG2,ECG
nfle9,DX1-DX2,OTHER
nfle9,SX1-SX2,OTHER
nfle9,SAO2,OXYGEN
nfle9,HR,UNKNOWN
nfle9,PLETH,OXYGEN
nfle9,STAT,UNKNOWN
plm1,FP2-F4,EEG
plm1,F4-C4,EEG
plm1,C4-P4,EEG
plm1,P4-O2,EEG
plm1,FP1-F3,EEG
plm1,F3-C3,EEG
plm1,C3-P3,EEG
plm1,P3-O1,EEG
plm1,C4-A1,EEG
plm1,ROC-LOC,EOG
plm1,EMG1-EMG2,EMG
plm1,ECG1-ECG2,ECG
plm1,FLUSSO-0,UNKNOWN
plm1,TIB SX,UNKNOWN
plm1,TIB DX,UNKNOWN
plm1,SAO2,OXYGEN
plm1,HR,UNKNOWN
plm1,PLETH,OXYGEN
plm1,MIC,OTHER
plm1,STAT,UNKNOWN
plm1,POSITION,OTHER
plm1,FLUSSO-1,UNKNOWN
plm1,TORACE,THORAX
plm1,ADDDOME,ABDOMEN
plm10,FP2-F4,EEG
plm10,F4-C4,EEG
plm10,C4-P4,EEG
plm10,P4-O2,EEG
plm10,FP1-F3,EEG
plm10,F3-C3,EEG
plm10,C3-P3,EEG
plm10,P3-O1,EEG
plm10,C4-A1,EEG
plm10,ROC-LOC,EOG
plm10,EMG1-EMG2,EMG
plm10,ECG1-ECG2,ECG
plm10,DX1-DX2,OTHER
plm10,SX1-SX2,OTHER
plm10,TORACE,THORAX
plm10,ADDOME,ABDOMEN
plm10,SAO2,OXYGEN
plm10,HR,UNKNOWN
plm10,PLETH,OXYGEN
plm10,STAT,UNKNOWN
plm2,FP2-F4,EEG
plm2,F4-C4,EEG
plm2,C4-P4,EEG
plm2,P4-O2,EEG
plm2,FP1-F3,EEG
plm2,F3-C3,EEG
plm2,C3-P3,EEG
plm2,P3-O1,EEG
plm2,C4-A1,EEG
plm2,ROC-LOC,EOG
plm2,EMG1-EMG2,EMG
plm2,ECG1-ECG2,ECG
plm2,DX1-DX2,OTHER
plm2,SX1-SX2,OTHER
plm2,SAO2,OXYGEN
plm2,HR,UNKNOWN
plm2,PLETH,OXYGEN
plm2,STAT,UNKNOWN
plm3,FP2-F4,EEG
plm3,F4-C4,EEG
plm3,C4-P4,EEG
plm3,P4-O2,EEG
plm3,FP1-F3,EEG
plm3,F3-C3,EEG
plm3,C3-P3,EEG
plm3,P3-O1,EEG
plm3,C4-A1,EEG
plm3,ROC-LOC,EOG
plm3,EMG1-EMG2,EMG
plm3,ECG1-ECG2,ECG
plm3,DX1-DX2,OTHER
plm3,SX1-SX2,OTHER
plm3,T4-T6,EEG
plm3,T3-T5,EEG
plm3,SAO2,OXYGEN
plm3,HR,UNKNOWN
plm3,PLETH,OXYGEN
plm3,STAT,UNKNOWN
plm4,ROC-LOC,EOG
plm4,FP2-F4,EEG
plm4,F4-C4,EEG
plm4,C4-P4,EEG
plm4,P4-O2,EEG
plm4,C4-A1,EEG
plm4,EMG1-EMG2,EMG
plm4,ECG1-ECG2,ECG
plm4,DX1-DX2,OTHER
plm4,SX1-SX2,OTHER
plm4,TORACE,THORAX
plm4,ADDOME,ABDOMEN
plm5,ROC-LOC,EOG
plm5,FP2-F4,EEG
plm5,F4-C4,EEG
plm5,C4-P4,EEG
plm5,P4-O2,EEG
plm5,C4-A1,EEG
plm5,EMG1-EMG2,EMG
plm5,ECG1-ECG2,ECG
plm5,DX1-DX2,OTHER
plm5,SX1-SX2,OTHER
plm5,F8-T4,EEG
plm5,F7-T3,EEG
plm5,TORACE,THORAX
plm5,ADDOME,ABDOMEN
plm5,SAO2,OXYGEN
plm5,HR,UNKNOWN
plm5,PLETH,OXYGEN
plm5,STAT,UNKNOWN
plm6,FP2-F4,EEG
plm6,F4-C4,EEG
plm6,C4-P4,EEG
plm6,P4-O2,EEG
plm6,FP1-F3,EEG
plm6,F3-C3,EEG
plm6,C3-P3,EEG
plm6,P3-O1,EEG
plm6,C4-A1,EEG
plm6,ROC-LOC,EOG
plm6,EMG1-EMG2,EMG
plm6,ECG1-ECG2,ECG
plm6,DX1-DX2,OTHER
plm6,SX1-SX2,OTHER
plm6,SAO2,OXYGEN
plm6,HR,UNKNOWN
plm6,PLETH,OXYGEN
plm6,STAT,UNKNOWN
plm7,FP2-F4,EEG
plm7,F4-C4,EEG
plm7,C4-P4,EEG
plm7,P4-O2,EEG
plm7,C4-A1,EEG
plm7,ROC-LOC,EOG
plm7,EMG1-EMG2,EMG
plm7,ECG1-ECG2,ECG
plm7,DX1-DX2,OTHER
plm7,SX1-SX2,OTHER
plm7,SAO2,OXYGEN
plm7,HR,UNKNOWN
plm7,PLETH,OXYGEN
plm7,STAT,UNKNOWN
plm8,ROC-LOC,EOG
plm8,FP2-F4,EEG
plm8,F4-C4,EEG
plm8,C4-P4,EEG
plm8,P4-O2,EEG
plm8,C4-A1,EEG
plm8,EMG1-EMG2,EMG
plm8,ECG1-ECG2,ECG
plm8,DX1-DX2,OTHER
plm8,SX1-SX2,OTHER
plm8,TORACE,THORAX
plm8,ADDOME,ABDOMEN
plm8,POSITION,OTHER
plm8,SAO2,OXYGEN
plm8,MIC,OTHER
plm8,HR,UNKNOWN
plm8,PLETH,OXYGEN
plm8,STAT,UNKNOWN
plm9,FP2-F4,EEG
plm9,F4-C4,EEG
plm9,C4-P4,EEG
plm9,P4-O2,EEG
plm9,F8-T4,EEG
plm9,T4-T6,EEG
plm9,FP1-F3,EEG
plm9,F3-C3,EEG
plm9,C3-P3,EEG
plm9,P3-O1,EEG
plm9,F7-T3,EEG
plm9,T3-T5,EEG
plm9,C4-A1,EEG
plm9,ROC-LOC,EOG
plm9,EMG1-EMG2,EMG
plm9,ECG1-ECG2,ECG
plm9,DX1-DX2,OTHER
plm9,SX1-SX2,OTHER
plm9,SAO2,OXYGEN
plm9,HR,UNKNOWN
plm9,PLETH,OXYGEN
plm9,STAT,UNKNOWN
rbd1,ROC-LOC,EOG
rbd1,FP2-F4,EEG
rbd1,F4-C4,EEG
rbd1,C4-P4,EEG
rbd1,P4-O2,EEG
rbd1,C4-A1,EEG
rbd1,EMG1-EMG2,EMG
rbd1,ECG1-ECG2,ECG
rbd1,DX1-DX2,OTHER
rbd1,SX1-SX2,OTHER
rbd1,F8-T4,EEG
rbd1,F7-T3,EEG
rbd1,TORACE,THORAX
rbd1,ADDOME,ABDOMEN
rbd1,MIC,OTHER
rbd10,ROC-LOC,EOG
rbd10,FP2-F4,EEG
rbd10,F4-C4,EEG
rbd10,C4-P4,EEG
rbd10,P4-O2,EEG
rbd10,FP1-F3,EEG
rbd10,F3-C3,EEG
rbd10,C3-P3,EEG
rbd10,P3-O1,EEG
rbd10,C4-A1,EEG
rbd10,EMG1-EMG2,EMG
rbd10,ECG1-ECG2,ECG
rbd10,DX1-DX2,OTHER
rbd10,SX1-SX2,OTHER
rbd10,F8-T4,EEG
rbd10,F7-T3,EEG
rbd10,TORACE,THORAX
rbd10,ADDOME,ABDOMEN
rbd10,SAO2,OXYGEN
rbd10,HR,UNKNOWN
rbd10,PLETH,OXYGEN
rbd10,STAT,UNKNOWN
rbd11,ROC-LOC,EOG
rbd11,FP2-F4,EEG
rbd11,F4-C4,EEG
rbd11,C4-P4,EEG
rbd11,P4-O2,EEG
rbd11,FP1-F3,EEG
rbd11,F3-C3,EEG
rbd11,C3-P3,EEG
rbd11,P3-O1,EEG
rbd11,C4-A1,EEG
rbd11,EMG1-EMG2,EMG
rbd11,ECG1-ECG2,ECG
rbd11,DX1-DX2,OTHER
rbd11,SX1-SX2,OTHER
rbd11,F8-T4,EEG
rbd11,F7-T3,EEG
rbd11,TORACE,THORAX
rbd11,ADDOME,ABDOMEN
rbd11,SAO2,OXYGEN
rbd11,HR,UNKNOWN
rbd11,PLETH,OXYGEN
rbd11,STAT,UNKNOWN
rbd12,ROC-LOC,EOG
rbd12,FP2-F4,EEG
rbd12,F4-C4,EEG
rbd12,C4-P4,EEG
rbd12,P4-O2,EEG
rbd12,FP1-F3,EEG
rbd12,F3-C3,EEG
rbd12,C3-P3,EEG
rbd12,P3-O1,EEG
rbd12,C4-A1,EEG
rbd12,EMG1-EMG2,EMG
rbd12,ECG1-ECG2,ECG
rbd12,DX1-DX2,OTHER
rbd12,SX1-SX2,OTHER
rbd12,F8-T4,EEG
rbd12,F7-T3,EEG
rbd12,TORACE,THORAX
rbd12,ADDOME,ABDOMEN
rbd12,SAO2,OXYGEN
rbd12,MIC,OTHER
rbd12,HR,UNKNOWN
rbd12,PLETH,OXYGEN
rbd12,STAT,UNKNOWN
rbd13,ROC-LOC,EOG
rbd13,FP2-F4,EEG
rbd13,F4-C4,EEG
rbd13,C4-P4,EEG
rbd13,P4-O2,EEG
rbd13,FP1-F3,EEG
rbd13,F3-C3,EEG
rbd13,C3-P3,EEG
rbd13,P3-O1,EEG
rbd13,C4-A1,EEG
rbd13,EMG1-EMG2,EMG
rbd13,ECG1-ECG2,ECG
rbd13,DX1-DX2,OTHER
rbd13,SX1-SX2,OTHER
rbd13,F8-T4,EEG
rbd13,F7-T3,EEG
rbd13,TORACE,THORAX
rbd13,ADDOME,ABDOMEN
rbd13,SAO2,OXYGEN
rbd13,HR,UNKNOWN
rbd13,PLETH,OXYGEN
rbd13,STAT,UNKNOWN
rbd13,MIC,OTHER
rbd14,ROC-LOC,EOG
rbd14,FP2-F4,EEG
rbd14,F4-C4,EEG
rbd14,C4-P4,EEG
rbd14,P4-O2,EEG
rbd14,C4-A1,EEG
rbd14,EMG1-EMG2,EMG
rbd14,ECG1-ECG2,ECG
rbd14,DX1-DX2,OTHER
rbd14,SX1-SX2,OTHER
rbd14,F8-T4,EEG
rbd14,F7-T3,EEG
rbd14,TORACE,THORAX
rbd14,ADDOME,ABDOMEN
rbd14,POSITION,OTHER
rbd14,MIC,OTHER
rbd15,ROC-LOC,EOG
rbd15,FP2-F4,EEG
rbd15,F4-C4,EEG
rbd15,C4-P4,EEG
rbd15,P4-O2,EEG
rbd15,C4-A1,EEG
rbd15,EMG1-EMG2,EMG
rbd15,ECG1-ECG2,ECG
rbd15,DX1-DX2,OTHER
rbd15,SX1-SX2,OTHER
rbd15,F8-T4,EEG
rbd15,F7-T3,EEG
rbd16,ROC-LOC,EOG
rbd16,FP2-F4,EEG
rbd16,F4-C4,EEG
rbd16,C4-P4,EEG
rbd16,P4-O2,EEG
rbd16,FP1-F3,EEG
rbd16,F3-C3,EEG
rbd16,C3-P3,EEG
rbd16,P3-O1,EEG
rbd16,C4-A1,EEG
rbd16,EMG1-EMG2,EMG
rbd16,ECG1-ECG2,ECG
rbd16,DX1-DX2,OTHER
rbd16,SX1-SX2,OTHER
rbd16,F8-T4,EEG
rbd16,F7-T3,EEG
rbd16,TORACE,THORAX
rbd16,ADDOME,ABDOMEN
rbd16,POSITION,OTHER
rbd16,SAO2,OXYGEN
rbd16,MIC,OTHER
rbd16,HR,UNKNOWN
rbd16,PLETH,OXYGEN
rbd16,STAT,UNKNOWN
rbd17,ROC-LOC,EOG
rbd17,FP2-F4,EEG
rbd17,F4-C4,EEG
rbd17,C4-P4,EEG
rbd17,P4-O2,EEG
rbd17,FP1-F3,EEG
rbd17,F3-C3,EEG
rbd17,C3-P3,EEG
rbd17,P3-O1,EEG
rbd17,C4-A1,EEG
rbd17,EMG1-EMG2,EMG
rbd17,ECG1-ECG2,ECG
rbd17,DX1-DX2,OTHER
rbd17,SX1-SX2,OTHER
rbd17,SAO2,OXYGEN
rbd17,HR,UNKNOWN
rbd17,PLETH,OXYGEN
rbd17,STAT,UNKNOWN
rbd18,FP2-F4,EEG
rbd18,F4-C4,EEG
rbd18,C4-P4,EEG
rbd18,P4-O2,EEG
rbd18,F8-T4,EEG
rbd18,T4-T6,EEG
rbd18,FP1-F3,EEG
rbd18,F3-C3,EEG
rbd18,C3-P3,EEG
rbd18,P3-O1,EEG
rbd18,F7-T3,EEG
rbd18,T3-T5,EEG
rbd18,C4-A1,EEG
rbd18,ROC-LOC,EOG
rbd18,EMG1-EMG2,EMG
rbd18,ECG1-ECG2,ECG
rbd18,DX1-DX2,OTHER
rbd18,SX1-SX2,OTHER
rbd18,SAO2,OXYGEN
rbd18,HR,UNKNOWN
rbd18,PLETH,OXYGEN
rbd18,STAT,UNKNOWN
rbd19,ROC-LOC,EOG
rbd19,FP2-F4,EEG
