patient,channel,category,n_samples,n_saturated,pct_saturated
nfle11,SAO2,OXYGEN,7833600,7833600,100.0
nfle11,HR,UNKNOWN,7833600,7833600,100.0
nfle11,PLETH,OXYGEN,7833600,0,0.0
nfle11,OX STATUS,OXYGEN,7833600,1806001,23.0545
nfle12,FP2-F4,EEG,16389120,0,0.0
nfle12,F4-C4,EEG,16389120,0,0.0
nfle12,C4-P4,EEG,16389120,0,0.0
nfle12,P4-O2,EEG,16389120,0,0.0
nfle12,F8-T4,EEG,16389120,0,0.0
nfle12,T4-T6,EEG,16389120,0,0.0
nfle12,FP1-F3,EEG,16389120,0,0.0
nfle12,F3-C3,EEG,16389120,0,0.0
nfle12,C3-P3,EEG,16389120,70,0.0004
nfle12,P3-O1,EEG,16389120,38,0.0002
nfle12,F7-T3,EEG,16389120,0,0.0
nfle12,T3-T5,EEG,16389120,0,0.0
nfle12,C4-A1,EEG,16389120,99,0.0006
nfle12,ROC-LOC,EOG,16389120,6,0.0
nfle12,EMG1-EMG2,EMG,16389120,0,0.0
nfle12,ECG1-ECG2,ECG,16389120,0,0.0
nfle12,DX1-DX2,OTHER,16389120,26,0.0002
nfle12,SX1-SX2,OTHER,16389120,1,0.0
nfle12,SAO2,OXYGEN,16389120,16389046,99.9995
nfle12,HR,UNKNOWN,16389120,16389034,99.9995
nfle12,PLETH,OXYGEN,16389120,16253941,99.1752
nfle12,STAT,UNKNOWN,16389120,6823725,41.6357
nfle13,FP2-F4,EEG,16589312,0,0.0
nfle13,F4-C4,EEG,16589312,0,0.0
nfle13,C4-P4,EEG,16589312,0,0.0
nfle13,P4-O2,EEG,16589312,0,0.0
nfle13,F8-T4,EEG,16589312,0,0.0
nfle13,T4-T6,EEG,16589312,0,0.0
nfle13,FP1-F3,EEG,16589312,0,0.0
nfle13,F3-C3,EEG,16589312,0,0.0
nfle13,C3-P3,EEG,16589312,0,0.0
nfle13,P3-O1,EEG,16589312,0,0.0
nfle13,F7-T3,EEG,16589312,0,0.0
nfle13,T3-T5,EEG,16589312,26,0.0002
nfle13,C4-A1,EEG,16589312,0,0.0
nfle13,ROC-LOC,EOG,16589312,0,0.0
nfle13,EMG1-EMG2,EMG,16589312,3,0.0
nfle13,ECG1-ECG2,ECG,16589312,2125,0.0128
nfle13,DX1-DX2,OTHER,16589312,17,0.0001
nfle13,SX1-SX2,OTHER,16589312,24,0.0001
nfle13,SAO2,OXYGEN,16589312,16589279,99.9998
nfle13,HR,UNKNOWN,16589312,16589261,99.9997
nfle13,PLETH,OXYGEN,16589312,16513276,99.5417
nfle13,STAT,UNKNOWN,16589312,3468130,20.9058
nfle13,MIC,OTHER,16589312,0,0.0
nfle14,FP2-F4,EEG,15529472,0,0.0
nfle14,F4-C4,EEG,15529472,0,0.0
nfle14,C4-P4,EEG,15529472,0,0.0
nfle14,P4-O2,EEG,15529472,0,0.0
nfle14,F8-T4,EEG,15529472,0,0.0
nfle14,T4-T6,EEG,15529472,0,0.0
nfle14,FP1-F3,EEG,15529472,0,0.0
nfle14,F3-C3,EEG,15529472,0,0.0
nfle14,C3-P3,EEG,15529472,0,0.0
nfle14,P3-O1,EEG,15529472,0,0.0
nfle14,F7-T3,EEG,15529472,0,0.0
nfle14,T3-T5,EEG,15529472,0,0.0
nfle14,C4-A1,EEG,15529472,0,0.0
nfle14,ROC-LOC,EOG,15529472,104,0.0007
nfle14,EMG1-EMG2,EMG,15529472,0,0.0
nfle14,ECG1-ECG2,ECG,15529472,1911,0.0123
nfle14,DX1-DX2,OTHER,15529472,2,0.0
nfle14,SX1-SX2,OTHER,15529472,29,0.0002
nfle14,SAO2,OXYGEN,15529472,15529470,100.0
nfle14,HR,UNKNOWN,15529472,15529466,100.0
nfle14,PLETH,OXYGEN,15529472,15477257,99.6638
nfle14,STAT,UNKNOWN,15529472,3689686,23.7592
nfle14,MIC,OTHER,15529472,0,0.0
nfle15,FP2-F4,EEG,16296960,0,0.0
nfle15,F4-C4,EEG,16296960,0,0.0
nfle15,C4-P4,EEG,16296960,0,0.0
nfle15,P4-O2,EEG,16296960,0,0.0
nfle15,F8-T4,EEG,16296960,0,0.0
nfle15,T4-T6,EEG,16296960,0,0.0
nfle15,FP1-F3,EEG,16296960,0,0.0
nfle15,F3-C3,EEG,16296960,0,0.0
nfle15,C3-P3,EEG,16296960,0,0.0
nfle15,P3-O1,EEG,16296960,0,0.0
nfle15,F7-T3,EEG,16296960,0,0.0
nfle15,T3-T5,EEG,16296960,0,0.0
nfle15,C4-A1,EEG,16296960,0,0.0
nfle15,ROC-LOC,EOG,16296960,175,0.0011
nfle15,EMG1-EMG2,EMG,16296960,196,0.0012
nfle15,ECG1-ECG2,ECG,16296960,7041,0.0432
nfle15,DX1-DX2,OTHER,16296960,25,0.0002
nfle15,SX1-SX2,OTHER,16296960,81,0.0005
nfle15,SAO2,OXYGEN,16296960,16296935,99.9998
nfle15,HR,UNKNOWN,16296960,16296928,99.9998
nfle15,PLETH,OXYGEN,16296960,16243134,99.6697
nfle15,STAT,UNKNOWN,16296960,5146962,31.5823
nfle16,FP2-F4,EEG,15713280,0,0.0
nfle16,F4-C4,EEG,15713280,0,0.0
nfle16,C4-P4,EEG,15713280,0,0.0
nfle16,P4-O2,EEG,15713280,0,0.0
nfle16,F8-T4,EEG,15713280,0,0.0
nfle16,T4-T6,EEG,15713280,0,0.0
nfle16,FP1-F3,EEG,15713280,0,0.0
nfle16,F3-C3,EEG,15713280,0,0.0
nfle16,C3-P3,EEG,15713280,0,0.0
nfle16,P3-O1,EEG,15713280,0,0.0
nfle16,F7-T3,EEG,15713280,0,0.0
nfle16,T3-T5,EEG,15713280,0,0.0
nfle16,C4-A1,EEG,15713280,0,0.0
nfle16,ROC-LOC,EOG,15713280,0,0.0
nfle16,EMG1-EMG2,EMG,15713280,0,0.0
nfle16,ECG1-ECG2,ECG,15713280,454,0.0029
nfle16,DX1-DX2,OTHER,15713280,0,0.0
nfle16,SX1-SX2,OTHER,15713280,0,0.0
nfle16,SAO2,OXYGEN,15713280,15713274,100.0
nfle16,HR,UNKNOWN,15713280,15713275,100.0
nfle16,PLETH,OXYGEN,15713280,15660444,99.6637
nfle16,STAT,UNKNOWN,15713280,1352670,8.6085
nfle17,FP2-F4,EEG,13685760,0,0.0
nfle17,F4-C4,EEG,13685760,0,0.0
nfle17,C4-P4,EEG,13685760,0,0.0
nfle17,P4-O2,EEG,13685760,0,0.0
nfle17,F8-T4,EEG,13685760,0,0.0
nfle17,T4-T6,EEG,13685760,0,0.0
nfle17,FP1-F3,EEG,13685760,0,0.0
nfle17,F3-C3,EEG,13685760,0,0.0
nfle17,C3-P3,EEG,13685760,0,0.0
nfle17,P3-O1,EEG,13685760,0,0.0
nfle17,F7-T3,EEG,13685760,34,0.0002
nfle17,T3-T5,EEG,13685760,0,0.0
nfle17,C4-A1,EEG,13685760,1118,0.0082
nfle17,ROC-LOC,EOG,13685760,150,0.0011
nfle17,EMG1-EMG2,EMG,13685760,0,0.0
nfle17,ECG1-ECG2,ECG,13685760,4726,0.0345
nfle17,DX1-DX2,OTHER,13685760,5,0.0
nfle17,SX1-SX2,OTHER,13685760,0,0.0
nfle17,SAO2,OXYGEN,13685760,13685733,99.9998
nfle17,HR,UNKNOWN,13685760,13685727,99.9998
nfle17,PLETH,OXYGEN,13685760,13662602,99.8308
nfle17,STAT,UNKNOWN,13685760,5399076,39.4503
nfle18,FP2-F4,EEG,17495040,0,0.0
nfle18,F4-C4,EEG,17495040,0,0.0
nfle18,C4-P4,EEG,17495040,0,0.0
nfle18,P4-O2,EEG,17495040,0,0.0
nfle18,F8-T4,EEG,17495040,0,0.0
nfle18,T4-T6,EEG,17495040,0,0.0
nfle18,FP1-F3,EEG,17495040,0,0.0
nfle18,F3-C3,EEG,17495040,0,0.0
nfle18,C3-P3,EEG,17495040,0,0.0
nfle18,P3-O1,EEG,17495040,0,0.0
nfle18,F7-T3,EEG,17495040,0,0.0
nfle18,T3-T5,EEG,17495040,0,0.0
nfle18,C4-A1,EEG,17495040,0,0.0
nfle18,ROC-LOC,EOG,17495040,0,0.0
nfle18,EMG1-EMG2,EMG,17495040,0,0.0
nfle18,ECG1-ECG2,ECG,17495040,3197,0.0183
nfle18,DX1-DX2,OTHER,17495040,12,0.0001
nfle18,SX1-SX2,OTHER,17495040,27,0.0002
nfle18,SAO2,OXYGEN,17495040,17495039,100.0
nfle18,HR,UNKNOWN,17495040,17495039,100.0
nfle18,PLETH,OXYGEN,17495040,17416531,99.5512
nfle18,STAT,UNKNOWN,17495040,4734124,27.0598
nfle18,MIC,OTHER,17495040,0,0.0
nfle19,FP2-F4,EEG,6973440,0,0.0
nfle19,F4-C4,EEG,6973440,0,0.0
nfle19,C4-P4,EEG,6973440,0,0.0
nfle19,P4-O2,EEG,6973440,0,0.0
nfle19,F8-T4,EEG,6973440,0,0.0
nfle19,T4-T6,EEG,6973440,0,0.0
nfle19,FP1-F3,EEG,6973440,0,0.0
nfle19,F3-C3,EEG,6973440,0,0.0
nfle19,C3-P3,EEG,6973440,0,0.0
nfle19,P3-O1,EEG,6973440,0,0.0
nfle19,F7-T3,EEG,6973440,0,0.0
nfle19,T3-T5,EEG,6973440,0,0.0
nfle19,C4-A1,EEG,6973440,0,0.0
nfle19,ROC-LOC,EOG,6973440,0,0.0
nfle19,EMG1-EMG2,EMG,6973440,0,0.0
nfle19,ECG1-ECG2,ECG,6973440,0,0.0
nfle19,DX1-DX2,OTHER,6973440,0,0.0
nfle19,SX1-SX2,OTHER,6973440,0,0.0
nfle19,SAO2,OXYGEN,6973440,6973440,100.0
nfle19,HR,UNKNOWN,6973440,6973440,100.0
nfle19,PLETH,OXYGEN,6973440,0,0.0
nfle19,OX STATUS,OXYGEN,6973440,648128,9.2942
nfle2,FP2-F4,EEG,16082432,71,0.0004
nfle2,F4-C4,EEG,16082432,36,0.0002
nfle2,C4-P4,EEG,16082432,560,0.0035
nfle2,P4-O2,EEG,16082432,567,0.0035
nfle2,F8-T4,EEG,16082432,61,0.0004
nfle2,T4-T6,EEG,16082432,54,0.0003
nfle2,FP1-F3,EEG,16082432,67,0.0004
nfle2,F3-C3,EEG,16082432,49,0.0003
nfle2,C3-P3,EEG,16082432,37,0.0002
nfle2,P3-O1,EEG,16082432,25,0.0002
nfle2,F7-T3,EEG,16082432,34,0.0002
nfle2,T3-T5,EEG,16082432,0,0.0
nfle2,C4-A1,EEG,16082432,48,0.0003
nfle2,ROC-LOC,EOG,16082432,192,0.0012
nfle2,EMG1-EMG2,EMG,16082432,12,0.0001
nfle2,ECG1-ECG2,ECG,16082432,7849,0.0488
nfle2,DX1-DX2,OTHER,16082432,17,0.0001
nfle2,SX1-SX2,OTHER,16082432,7,0.0
nfle2,SAO2,OXYGEN,16082432,16082355,99.9995
nfle2,HR,UNKNOWN,16082432,16082369,99.9996
nfle2,PLETH,OXYGEN,16082432,16007219,99.5323
nfle2,STAT,UNKNOWN,16082432,4682912,29.1182
nfle20,FP2-F4,EEG,7373056,0,0.0
nfle20,F4-C4,EEG,7373056,0,0.0
nfle20,C4-P4,EEG,7373056,0,0.0
nfle20,P4-O2,EEG,7373056,0,0.0
nfle20,F8-T4,EEG,7373056,0,0.0
nfle20,T4,UNKNOWN,7373056,0,0.0
nfle20,FP1-F3,EEG,7373056,0,0.0
nfle20,F3-C3,EEG,7373056,0,0.0
nfle20,C3-P3,EEG,7373056,0,0.0
nfle20,P3-O1,EEG,7373056,0,0.0
nfle20,F7-T3,EEG,7373056,0,0.0
nfle20,T3-T5,EEG,7373056,0,0.0
nfle20,C4-A1,EEG,7373056,0,0.0
nfle20,ROC-LOC,EOG,7373056,0,0.0
nfle20,EMG1-EMG2,EMG,7373056,0,0.0
nfle20,ECG1-ECG2,ECG,7373056,0,0.0
nfle20,DX1-DX2,OTHER,7373056,0,0.0
nfle20,SX1-SX2,OTHER,7373056,0,0.0
nfle20,SAO2,OXYGEN,7373056,7373056,100.0
nfle20,HR,UNKNOWN,7373056,7373056,100.0
nfle20,PLETH,OXYGEN,7373056,0,0.0
nfle20,OX STATUS,OXYGEN,7373056,10099,0.137
nfle21,FP2-F4,EEG,17740800,0,0.0
nfle21,F4-C4,EEG,17740800,0,0.0
nfle21,C4-P4,EEG,17740800,0,0.0
nfle21,P4-O2,EEG,17740800,0,0.0
nfle21,F8-T4,EEG,17740800,0,0.0
nfle21,T4-T6,EEG,17740800,0,0.0
nfle21,FP1-F3,EEG,17740800,712,0.004
nfle21,F3-C3,EEG,17740800,720,0.0041
nfle21,C3-P3,EEG,17740800,0,0.0
nfle21,P3-O1,EEG,17740800,0,0.0
nfle21,F7-T3,EEG,17740800,0,0.0
nfle21,T3-T5,EEG,17740800,0,0.0
nfle21,C4-A1,EEG,17740800,0,0.0
nfle21,ROC-LOC,EOG,17740800,0,0.0
nfle21,EMG1-EMG2,EMG,17740800,0,0.0
nfle21,ECG1-ECG2,ECG,17740800,4195,0.0236
nfle21,DX1-DX2,OTHER,17740800,0,0.0
nfle21,SX1-SX2,OTHER,17740800,0,0.0
nfle21,SAO2,OXYGEN,17740800,17738781,99.9886
nfle21,HR,UNKNOWN,17740800,17739062,99.9902
nfle21,PLETH,OXYGEN,17740800,17700233,99.7713
nfle21,STAT,UNKNOWN,17740800,4673960,26.3458
nfle22,FP2-F4,EEG,17111552,0,0.0
nfle22,F4-C4,EEG,17111552,0,0.0
nfle22,C4-P4,EEG,17111552,0,0.0
nfle22,P4-O2,EEG,17111552,0,0.0
nfle22,F8-T4,EEG,17111552,0,0.0
nfle22,T4-T6,EEG,17111552,0,0.0
nfle22,FP1-F3,EEG,17111552,0,0.0
nfle22,F3-C3,EEG,17111552,0,0.0
nfle22,C3-P3,EEG,17111552,0,0.0
nfle22,P3-O1,EEG,17111552,0,0.0
nfle22,F7-T3,EEG,17111552,0,0.0
nfle22,T3-T5,EEG,17111552,0,0.0
nfle22,C4-A1,EEG,17111552,0,0.0
nfle22,ROC-LOC,EOG,17111552,0,0.0
nfle22,EMG1-EMG2,EMG,17111552,2,0.0
nfle22,ECG1-ECG2,ECG,17111552,1134,0.0066
nfle22,DX1-DX2,OTHER,17111552,5,0.0
nfle22,SX1-SX2,OTHER,17111552,0,0.0
nfle22,SAO2,OXYGEN,17111552,17110544,99.9941
nfle22,HR,UNKNOWN,17111552,17111139,99.9976
nfle22,PLETH,OXYGEN,17111552,17039620,99.5796
nfle22,STAT,UNKNOWN,17111552,6984906,40.8198
nfle22,MIC,OTHER,17111552,0,0.0
nfle23,FP2-F4,EEG,8048640,0,0.0
nfle23,F4-C4,EEG,8048640,0,0.0
nfle23,C4-P4,EEG,8048640,0,0.0
nfle23,P4-O2,EEG,8048640,0,0.0
nfle23,F8-T4,EEG,8048640,0,0.0
nfle23,T4-T6,EEG,8048640,0,0.0
nfle23,FP1-F3,EEG,8048640,0,0.0
nfle23,F3-C3,EEG,8048640,0,0.0
nfle23,C3-P3,EEG,8048640,0,0.0
nfle23,P3-O1,EEG,8048640,0,0.0
nfle23,F7-T3,EEG,8048640,0,0.0
nfle23,T3-T5,EEG,8048640,0,0.0
nfle23,C4-A1,EEG,8048640,0,0.0
nfle23,ROC-LOC,EOG,8048640,0,0.0
nfle23,EMG1-EMG2,EMG,8048640,0,0.0
nfle23,ECG1-ECG2,ECG,8048640,0,0.0
nfle23,DX1-DX2,OTHER,8048640,0,0.0
nfle23,SX1-SX2,OTHER,8048640,0,0.0
nfle23,SAO2,OXYGEN,8048640,8048640,100.0
nfle23,HR,UNKNOWN,8048640,8048640,100.0
nfle23,PLETH,OXYGEN,8048640,0,0.0
nfle23,OX STATUS,OXYGEN,8048640,1006694,12.5076
nfle24,FP2-F4,EEG,15559680,0,0.0
nfle24,F4-C4,EEG,15559680,0,0.0
nfle24,C4-P4,EEG,15559680,0,0.0
nfle24,P4-O2,EEG,15559680,0,0.0
nfle24,F8-T4,EEG,15559680,0,0.0
nfle24,T4-T6,EEG,15559680,0,0.0
nfle24,FP1-F3,EEG,15559680,0,0.0
nfle24,F3-C3,EEG,15559680,0,0.0
nfle24,C3-P3,EEG,15559680,0,0.0
nfle24,P3-O1,EEG,15559680,2639,0.017
nfle24,F7-T3,EEG,15559680,0,0.0
nfle24,T3-T5,EEG,15559680,0,0.0
nfle24,C4-A1,EEG,15559680,0,0.0
nfle24,ROC-LOC,EOG,15559680,93,0.0006
nfle24,EMG1-EMG2,EMG,15559680,0,0.0
nfle24,ECG1-ECG2,ECG,15559680,3455,0.0222
nfle24,DX1-DX2,OTHER,15559680,0,0.0
nfle24,SX1-SX2,OTHER,15559680,0,0.0
nfle24,SAO2,OXYGEN,15559680,15559680,100.0
nfle24,HR,UNKNOWN,15559680,15559677,100.0
nfle24,PLETH,OXYGEN,15559680,15505885,99.6543
nfle24,STAT,UNKNOWN,15559680,3871108,24.8791
nfle24,MIC,OTHER,15559680,0,0.0
nfle25,POSITION,OTHER,8017920,8017920,100.0
nfle25,TIB SX,UNKNOWN,8017920,252489,3.1491
nfle25,TIB DX,UNKNOWN,8017920,822421,10.2573
nfle25,MIC,OTHER,8017920,0,0.0
nfle25,C3,UNKNOWN,8017920,0,0.0
nfle25,C4,UNKNOWN,8017920,0,0.0
nfle25,O1,UNKNOWN,8017920,0,0.0
nfle25,O2,UNKNOWN,8017920,0,0.0
nfle25,A1,UNKNOWN,8017920,0,0.0
nfle25,A2,UNKNOWN,8017920,0,0.0
nfle25,ROC,UNKNOWN,8017920,0,0.0
nfle25,LOC,UNKNOWN,8017920,0,0.0
nfle25,ECG1,UNKNOWN,8017920,0,0.0
nfle25,ECG2,UNKNOWN,8017920,201715,2.5158
nfle25,EMG1,UNKNOWN,8017920,0,0.0
nfle25,EMG2,UNKNOWN,8017920,0,0.0
nfle25,FP2,UNKNOWN,8017920,0,0.0
nfle25,F4,UNKNOWN,8017920,0,0.0
nfle25,P4,UNKNOWN,8017920,0,0.0
nfle25,FP1,UNKNOWN,8017920,0,0.0
nfle25,F3,UNKNOWN,8017920,0,0.0
nfle25,P3,UNKNOWN,8017920,0,0.0
nfle25,F8,UNKNOWN,8017920,0,0.0
nfle25,T4,UNKNOWN,8017920,0,0.0
nfle25,T6,UNKNOWN,8017920,0,0.0
nfle25,F7,UNKNOWN,8017920,0,0.0
nfle25,T5,UNKNOWN,8017920,0,0.0
nfle25,T3,UNKNOWN,8017920,0,0.0
nfle25,TORACE,THORAX,8017920,0,0.0
nfle25,ADDDOME,ABDOMEN,8017920,0,0.0
nfle25,STAT,UNKNOWN,8017920,1493696,18.6295
nfle25,HR,UNKNOWN,8017920,8017919,100.0
nfle25,SAO2,OXYGEN,8017920,8017916,100.0
nfle25,PLETH,OXYGEN,8017920,8000681,99.785
nfle26,FP2-F4,EEG,7495680,0,0.0
nfle26,F4-C4,EEG,7495680,0,0.0
nfle26,C4-P4,EEG,7495680,0,0.0
nfle26,P4-O2,EEG,7495680,0,0.0
nfle26,F8-T4,EEG,7495680,0,0.0
nfle26,T4-T6,EEG,7495680,0,0.0
nfle26,FP1-F3,EEG,7495680,0,0.0
nfle26,F3-C3,EEG,7495680,0,0.0
nfle26,C3-P3,EEG,7495680,0,0.0
nfle26,P3-O1,EEG,7495680,0,0.0
nfle26,F7-T3,EEG,7495680,0,0.0
nfle26,T3-T5,EEG,7495680,0,0.0
nfle26,C4-A1,EEG,7495680,0,0.0
nfle26,ROC-LOC,EOG,7495680,0,0.0
nfle26,EMG1-EMG2,EMG,7495680,0,0.0
nfle26,ECG1-ECG2,ECG,7495680,0,0.0
nfle26,DX1-DX2,OTHER,7495680,0,0.0
nfle26,SX1-SX2,OTHER,7495680,0,0.0
nfle26,SAO2,OXYGEN,7495680,7495679,100.0
nfle26,HR,UNKNOWN,7495680,7495680,100.0
nfle26,PLETH,OXYGEN,7495680,0,0.0
nfle26,OX STATUS,OXYGEN,7495680,1242109,16.571
nfle27,FP2-F4,EEG,15974400,5788,0.0362
nfle27,F4-C4,EEG,15974400,6656,0.0417
nfle27,C4-P4,EEG,15974400,6893,0.0432
nfle27,P4-O2,EEG,15974400,6305,0.0395
nfle27,F8-T4,EEG,15974400,6252,0.0391
nfle27,T4-T6,EEG,15974400,6230,0.039
nfle27,FP1-F3,EEG,15974400,6286,0.0394
nfle27,F3-C3,EEG,15974400,5543,0.0347
nfle27,C3-P3,EEG,15974400,4884,0.0306
nfle27,P3-O1,EEG,15974400,5818,0.0364
nfle27,F7-T3,EEG,15974400,6246,0.0391
nfle27,T3-T5,EEG,15974400,6473,0.0405
nfle27,C4-A1,EEG,15974400,5817,0.0364
nfle27,ROC-LOC,EOG,15974400,6715,0.042
nfle27,EMG1-EMG2,EMG,15974400,6103,0.0382
nfle27,ECG1-ECG2,ECG,15974400,6289,0.0394
nfle27,DX1-DX2,OTHER,15974400,5306,0.0332
nfle27,SX1-SX2,OTHER,15974400,5409,0.0339
nfle27,SAO2,OXYGEN,15974400,15974392,99.9999
nfle27,HR,UNKNOWN,15974400,15974390,99.9999
nfle27,PLETH,OXYGEN,15974400,12508017,78.3004
nfle27,STAT,UNKNOWN,15974400,15964482,99.9379
nfle28,FP2-F4,EEG,16972800,0,0.0
nfle28,F4-C4,EEG,16972800,0,0.0
nfle28,C4-P4,EEG,16972800,0,0.0
nfle28,P4-O2,EEG,16972800,0,0.0
nfle28,F8-T4,EEG,16972800,0,0.0
nfle28,T4-T6,EEG,16972800,0,0.0
nfle28,FP1-F3,EEG,16972800,0,0.0
nfle28,F3-C3,EEG,16972800,0,0.0
nfle28,C3-P3,EEG,16972800,0,0.0
nfle28,P3-O1,EEG,16972800,0,0.0
nfle28,F7-T3,EEG,16972800,0,0.0
nfle28,T3-T5,EEG,16972800,0,0.0
nfle28,C4-A1,EEG,16972800,0,0.0
nfle28,ROC-LOC,EOG,16972800,0,0.0
nfle28,EMG1-EMG2,EMG,16972800,0,0.0
nfle28,ECG1-ECG2,ECG,16972800,9948,0.0586
nfle28,DX1-DX2,OTHER,16972800,26,0.0002
nfle28,SX1-SX2,OTHER,16972800,8775,0.0517
nfle28,SAO2,OXYGEN,16972800,16972771,99.9998
nfle28,HR,UNKNOWN,16972800,16972769,99.9998
nfle28,PLETH,OXYGEN,16972800,16884163,99.4778
nfle28,STAT,UNKNOWN,16972800,3431445,20.2173
nfle29,FP2-F4,EEG,15636480,0,0.0
nfle29,F4-C4,EEG,15636480,0,0.0
nfle29,C4-P4,EEG,15636480,0,0.0
nfle29,P4-O2,EEG,15636480,0,0.0
nfle29,F8-T4,EEG,15636480,0,0.0
nfle29,T4-T6,EEG,15636480,0,0.0
nfle29,FP1-F3,EEG,15636480,0,0.0
nfle29,F3-C3,EEG,15636480,0,0.0
nfle29,C3-P3,EEG,15636480,0,0.0
nfle29,P3-O1,EEG,15636480,0,0.0
nfle29,F7-T3,EEG,15636480,0,0.0
nfle29,T3-T5,EEG,15636480,0,0.0
nfle29,C4-A1,EEG,15636480,0,0.0
nfle29,ROC-LOC,EOG,15636480,45,0.0003
nfle29,EMG1-EMG2,EMG,15636480,2,0.0
nfle29,ECG1-ECG2,ECG,15636480,139,0.0009
nfle29,DX1-DX2,OTHER,15636480,0,0.0
nfle29,SX1-SX2,OTHER,15636480,514,0.0033
nfle29,SAO2,OXYGEN,15636480,15636466,99.9999
nfle29,HR,UNKNOWN,15636480,15636466,99.9999
nfle29,PLETH,OXYGEN,15636480,15554029,99.4727
nfle29,STAT,UNKNOWN,15636480,3844169,24.5846
nfle3,FP2-F4,EEG,17126400,0,0.0
nfle3,F4-C4,EEG,17126400,0,0.0
nfle3,C4-P4,EEG,17126400,0,0.0
nfle3,P4-O2,EEG,17126400,0,0.0
nfle3,F8-T4,EEG,17126400,0,0.0
nfle3,T4-T6,EEG,17126400,0,0.0
nfle3,FP1-F3,EEG,17126400,0,0.0
nfle3,F3-C3,EEG,17126400,0,0.0
nfle3,C3-P3,EEG,17126400,0,0.0
nfle3,P3-O1,EEG,17126400,0,0.0
nfle3,F7-T3,EEG,17126400,0,0.0
nfle3,T3-T5,EEG,17126400,0,0.0
nfle3,C4-A1,EEG,17126400,182,0.0011
nfle3,ROC-LOC,EOG,17126400,0,0.0
nfle3,EMG1-EMG2,EMG,17126400,0,0.0
nfle3,ECG1-ECG2,ECG,17126400,11269,0.0658
nfle3,DX1-DX2,OTHER,17126400,222,0.0013
nfle3,SX1-SX2,OTHER,17126400,0,0.0
nfle3,SAO2,OXYGEN,17126400,17126387,99.9999
nfle3,HR,UNKNOWN,17126400,17126387,99.9999
nfle3,PLETH,OXYGEN,17126400,17080498,99.732
nfle3,STAT,UNKNOWN,17126400,7019161,40.9845
nfle30,FP2-F4,EEG,17571840,0,0.0
nfle30,F4-C4,EEG,17571840,0,0.0
nfle30,C4-P4,EEG,17571840,0,0.0
nfle30,P4-O2,EEG,17571840,0,0.0
nfle30,F8-T4,EEG,17571840,0,0.0
nfle30,T4-T6,EEG,17571840,0,0.0
nfle30,FP1-F3,EEG,17571840,0,0.0
nfle30,F3-C3,EEG,17571840,0,0.0
nfle30,C3-P3,EEG,17571840,0,0.0
nfle30,P3-O1,EEG,17571840,0,0.0
nfle30,F7-T3,EEG,17571840,0,0.0
nfle30,T3-T5,EEG,17571840,0,0.0
nfle30,C4-A1,EEG,17571840,0,0.0
nfle30,ROC-LOC,EOG,17571840,219,0.0012
nfle30,EMG1-EMG2,EMG,17571840,0,0.0
nfle30,ECG1-ECG2,ECG,17571840,925,0.0053
nfle30,DX1-DX2,OTHER,17571840,1139,0.0065
nfle30,SX1-SX2,OTHER,17571840,208,0.0012
nfle30,SAO2,OXYGEN,17571840,17571778,99.9996
nfle30,HR,UNKNOWN,17571840,17571692,99.9992
nfle30,PLETH,OXYGEN,17571840,17513956,99.6706
nfle30,STAT,UNKNOWN,17571840,5810208,33.0655
nfle30,MIC,OTHER,17571840,0,0.0
nfle31,FP2-F4,EEG,7610880,0,0.0
nfle31,F4-C4,EEG,7610880,0,0.0
nfle31,C4-P4,EEG,7610880,0,0.0
nfle31,P4-O2,EEG,7610880,0,0.0
nfle31,F8-T4,EEG,7610880,0,0.0
nfle31,T4-T6,EEG,7610880,0,0.0
nfle31,FP1-F3,EEG,7610880,0,0.0
nfle31,F3-C3,EEG,7610880,0,0.0
nfle31,C3-P3,EEG,7610880,0,0.0
nfle31,P3-O1,EEG,7610880,0,0.0
nfle31,F7-T3,EEG,7610880,0,0.0
nfle31,T3-T5,EEG,7610880,0,0.0
nfle31,C4-A1,EEG,7610880,0,0.0
nfle31,ROC-LOC,EOG,7610880,0,0.0
nfle31,EMG1-EMG2,EMG,7610880,0,0.0
nfle31,ECG1-ECG2,ECG,7610880,0,0.0
nfle31,DX1-DX2,OTHER,7610880,0,0.0
nfle31,SX1-SX2,OTHER,7610880,0,0.0
nfle31,MIC,OTHER,7610880,0,0.0
nfle31,CANULA,UNKNOWN,7610880,6564050,86.2456
nfle31,TORACE,THORAX,7610880,441039,5.7948
nfle31,ABDO,ABDOMEN,7610880,1182196,15.533
nfle31,POSITION,OTHER,7610880,0,0.0
nfle31,SAO2,OXYGEN,7610880,7610880,100.0
nfle31,HR,UNKNOWN,7610880,7610877,100.0
nfle31,PLETH,OXYGEN,7610880,0,0.0
nfle31,OX STATUS,OXYGEN,7610880,1707638,22.4368
nfle32,FP2-F4,EEG,16727040,483,0.0029
nfle32,F4-C4,EEG,16727040,0,0.0
nfle32,C4-P4,EEG,16727040,0,0.0
nfle32,P4-O2,EEG,16727040,16,0.0001
nfle32,F8-T4,EEG,16727040,0,0.0
nfle32,T4-T6,EEG,16727040,9,0.0001
nfle32,FP1-F3,EEG,16727040,0,0.0
nfle32,F3-C3,EEG,16727040,0,0.0
nfle32,C3-P3,EEG,16727040,0,0.0
